1,48789,1,Around the world,"The death toll from floods unleashed by Tropical Storm Jeanne rose sharply Sunday to nearly 2,000 people, with many still missing, as officials said they found hundreds more bodies in Haiti #39;s devastated northwestern region."
1,93729,1,Blair defends ID cards for Britain (AFP),"AFP - Prime Minister Tony Blair defended controversial plans to introduce identity cards in Britain, arguing they would help protect the nation from law-breakers."
1,69064,1,Poland Rejects Return of Death Penalty (AP),"AP - Polish lawmakers narrowly voted Friday against reintroducing the death penalty following a series of killings that outraged the nation, including the case of a young woman who was tortured and killed on a train, then dumped out the window."
1,111499,1,Rio Fights Rampant Street Crime as Tourists Fly In,"&lt;p&gt;&lt;/p&gt;&lt;p&gt; By Andrei Khalip&lt;/p&gt;&lt;p&gt; RIO DE JANEIRO, Brazil (Reuters) - Police armed with riflesand wearing flak jackets manned checkpoints across Rio deJaneiro on Thursday to prevent muggings and other violence astourists flocked to the ocean city for the holiday season.&lt;/p&gt;"
1,10521,1,Mortar Attack Kills 27 at Kufa Mosque,"KUFA, Iraq - A mortar barrage slammed into a mosque filled Iraqis preparing to march on the embattled city of Najaf, killing 27 people and wounding 63 here Thursday hours before the nation's top Shiite cleric was expected to arrive in area with a peace initiative.    The attack on the main mosque in Kufa - just a few miles from Najaf - dampened renewed hopes for a rapid resolution to the three-week crisis in Najaf..."
1,95511,1,PM arrives in Chile for APEC,PRIME Minister John Howard joined world leaders from across Asia and the Pacific today for the 12th Asia-Pacific Economic Cooperation (APEC) leaders #39; meeting.
1,52699,1,ElBaradei Urges Iran to Suspend Enrichment Activities," TOKYO (Reuters) - The head of the U.N. nuclear watchdog,  Mohamed ElBaradei, said Thursday he hoped Iran would fully  suspend its uranium enrichment-related activities and that his  agency was working with it to do so."
1,23370,1,Johansson Upsets Roddick at U.S. Open,"NEW YORK - Andy Roddick ran into a bold, bigger version of himself at the U.S. Open, and 6-foot-6 Joachim Johansson sent the defending champion home..."
1,67575,1,Bush Signs Youth Suicide Prevention Law (AP),AP - President Bush on Thursday signed into law a bill authorizing  #36;82 million in grants aimed at preventing suicide among young people.
1,10452,1,"Supporters of Sistani Fired Upon, 20 Dead: Witness (Reuters)","Reuters - Supporters of Iraq's top Shi'ite\cleric Grand Ayatollah Ali al-Sistani were fired upon in the\town of Kufa on Thursday and 20 people were killed, a Reuters\photographer said from the scene."
1,35037,1,Haiti faces major emergency as floods kill more than 700,"PORT-AU-PRINCE : Disaster relief crews battled to get emergency aid to 170,000 people affected by floods that killed more than 700 in Haiti, a Caribbean nation that ranks among the world #39;s poorest."
1,52745,1,UN troops and police in Haiti try to curb pro-Aristide violence,"PORT-AU-PRINCE, Haiti -- Enraged supporters of ousted President Jean-Bertrand Aristide armed themselves with machetes, guns, rocks, and bottles and roamed a downtown slum, threatening to behead foreigners after UN peacekeepers and Haitian police arrested dozens yesterday."
